,Day,Case_by_time,Death_by_time,recovered_by_time
0,01/01/2021,19,0,19
1,02/01/2021,19,0,19
2,03/01/2021,19,0,19
3,04/01/2021,19,0,19
4,05/01/2021,19,0,19
5,06/01/2021,19,0,19
6,07/01/2021,19,0,19
7,08/01/2021,19,0,19
8,09/01/2021,19,0,19
9,10/01/2021,19,0,19
10,11/01/2021,19,0,19
11,12/01/2021,19,0,19
12,13/01/2021,19,0,19
13,14/01/2021,19,0,19
14,15/01/2021,19,0,19
15,16/01/2021,19,0,19
16,17/01/2021,19,0,19
17,18/01/2021,19,0,19
18,19/01/2021,19,0,19
19,20/01/2021,19,0,19
20,21/01/2021,19,0,19
21,22/01/2021,19,0,19
22,23/01/2021,19,0,19
23,24/01/2021,19,0,19
24,25/01/2021,19,0,19
25,26/01/2021,19,0,19
26,27/01/2021,19,0,19
27,28/01/2021,19,0,19
28,29/01/2021,19,0,19
29,30/01/2021,19,0,19
30,31/01/2021,19,0,19
31,01/02/2021,19,0,19
32,02/02/2021,19,0,19
33,03/02/2021,19,0,19
34,04/02/2021,19,0,19
35,05/02/2021,19,0,19
36,06/02/2021,19,0,19
37,07/02/2021,19,0,19
38,08/02/2021,19,0,19
39,09/02/2021,19,0,19
40,10/02/2021,19,0,19
41,11/02/2021,19,0,19
42,12/02/2021,19,0,19
43,13/02/2021,19,0,19
44,14/02/2021,19,0,19
45,15/02/2021,19,0,19
46,16/02/2021,19,0,19
47,17/02/2021,19,0,19
48,18/02/2021,19,0,19
49,19/02/2021,19,0,19
50,20/02/2021,19,0,19
51,21/02/2021,19,0,19
52,22/02/2021,19,0,19
53,23/02/2021,19,0,19
54,24/02/2021,19,0,19
55,25/02/2021,19,0,19
56,26/02/2021,19,0,19
57,27/02/2021,19,0,19
58,28/02/2021,19,0,19
59,01/03/2021,19,0,19
60,02/03/2021,19,0,19
61,03/03/2021,19,0,19
62,04/03/2021,19,0,19
63,05/03/2021,19,0,19
64,06/03/2021,19,0,19
65,07/03/2021,19,0,19
66,08/03/2021,19,0,19
67,09/03/2021,19,0,19
68,10/03/2021,19,0,19
69,11/03/2021,19,0,19
70,12/03/2021,19,0,19
71,13/03/2021,19,0,19
72,14/03/2021,19,0,19
73,15/03/2021,19,0,19
74,16/03/2021,19,0,19
75,17/03/2021,19,0,19
76,18/03/2021,19,0,19
77,19/03/2021,19,0,19
78,20/03/2021,19,0,19
79,21/03/2021,19,0,19
80,22/03/2021,19,0,19
81,23/03/2021,19,0,19
82,24/03/2021,19,0,19
83,25/03/2021,19,0,19
84,26/03/2021,19,0,19
85,27/03/2021,19,0,19
86,28/03/2021,19,0,19
87,29/03/2021,19,0,19
88,30/03/2021,19,0,19
89,31/03/2021,19,0,19
90,01/04/2021,19,0,19
91,02/04/2021,19,0,19
92,03/04/2021,19,0,19
93,04/04/2021,19,0,19
94,05/04/2021,19,0,19
95,06/04/2021,19,0,19
96,07/04/2021,19,0,19
97,08/04/2021,19,0,19
98,09/04/2021,19,0,19
99,10/04/2021,19,0,19
100,11/04/2021,19,0,19
101,12/04/2021,19,0,19
102,13/04/2021,19,0,19
103,14/04/2021,19,0,19
104,15/04/2021,19,0,19
105,16/04/2021,19,0,19
106,17/04/2021,19,0,19
107,18/04/2021,19,0,19
108,19/04/2021,19,0,19
109,20/04/2021,19,0,19
110,21/04/2021,19,0,19
111,22/04/2021,19,0,19
112,23/04/2021,19,0,19
113,24/04/2021,19,0,19
114,25/04/2021,19,0,19
115,26/04/2021,19,0,19
116,27/04/2021,19,0,19
117,28/04/2021,19,0,19
118,29/04/2021,21,0,19
119,30/04/2021,21,0,19
120,01/05/2021,21,0,19
121,02/05/2021,27,0,19
122,03/05/2021,35,0,19
123,04/05/2021,35,0,19
124,05/05/2021,35,0,19
125,06/05/2021,46,0,19
126,07/05/2021,47,0,19
127,08/05/2021,54,0,19
128,09/05/2021,54,0,19
129,10/05/2021,72,0,19
130,11/05/2021,78,0,19
131,12/05/2021,91,0,19
132,13/05/2021,96,0,19
133,14/05/2021,96,0,19
134,15/05/2021,97,0,19
135,16/05/2021,101,0,19
136,17/05/2021,105,0,19
137,18/05/2021,105,0,19
138,19/05/2021,106,0,19
139,20/05/2021,107,0,19
140,21/05/2021,107,0,19
141,22/05/2021,107,0,20
142,23/05/2021,107,0,20
143,24/05/2021,107,0,27
144,25/05/2021,107,0,27
145,26/05/2021,107,0,34
146,27/05/2021,107,0,34
147,28/05/2021,107,0,37
148,29/05/2021,108,0,37
149,30/05/2021,108,0,38
150,31/05/2021,108,0,39
151,01/06/2021,109,0,39
152,02/06/2021,109,0,39
153,03/06/2021,109,0,39
154,04/06/2021,109,0,39
155,05/06/2021,111,0,40
156,06/06/2021,111,0,41
157,07/06/2021,113,0,42
158,08/06/2021,113,0,43
159,09/06/2021,113,0,43
160,10/06/2021,113,0,43
161,11/06/2021,113,0,44
162,12/06/2021,113,0,46
163,13/06/2021,113,0,46
164,14/06/2021,113,0,46
165,15/06/2021,113,0,46
166,16/06/2021,113,0,46
167,17/06/2021,113,0,46
168,18/06/2021,113,0,46
169,19/06/2021,113,0,46
170,20/06/2021,113,0,46
171,21/06/2021,113,0,46
172,22/06/2021,113,0,46
173,23/06/2021,113,0,47
174,24/06/2021,113,0,47
175,25/06/2021,113,0,48
