,Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
0,1/1/2021,10,0,10,,,
1,2/1/2021,10,0,10,,,
2,3/1/2021,10,0,10,,,
3,4/1/2021,10,0,10,,,
4,5/1/2021,10,0,10,,,
5,6/1/2021,10,0,10,,,
6,7/1/2021,10,0,10,,,
7,8/1/2021,10,0,10,,,
8,9/1/2021,10,0,10,,,
9,10/1/2021,10,0,10,,,
10,11/1/2021,10,0,10,,,
11,12/1/2021,10,0,10,,,
12,13/01/2021,10,0,10,,,
13,14/01/2021,10,0,10,,,
14,15/01/2021,10,0,10,,,
15,16/01/2021,10,0,10,,,
16,17/01/2021,10,0,10,,,
17,18/01/2021,10,0,10,,,
18,19/01/2021,10,0,10,,,
19,20/01/2021,10,0,10,,,
20,21/01/2021,10,0,10,,,
21,22/01/2021,10,0,10,,,
22,23/01/2021,10,0,10,,,
23,24/01/2021,10,0,10,,,
24,25/01/2021,10,0,10,,,
25,26/01/2021,10,0,10,,,
26,27/01/2021,10,0,10,,,
27,28/01/2021,10,0,10,,,
28,29/01/2021,10,0,10,,,
29,30/01/2021,10,0,10,,,
30,31/01/2021,10,0,10,,,
31,1/2/2021,10,0,10,,,
32,2/2/2021,10,0,10,,,
33,3/2/2021,10,0,10,,,
34,4/2/2021,10,0,10,,,
35,5/2/2021,10,0,10,,,
36,6/2/2021,10,0,10,,,
37,7/2/2021,10,0,10,,,
38,8/2/2021,10,0,10,,,
39,9/2/2021,10,0,10,,,
40,10/2/2021,10,0,10,,,
41,11/2/2021,10,0,10,,,
42,12/2/2021,10,0,10,,,
43,13/02/2021,10,0,10,,,
44,14/02/2021,10,0,10,,,
45,15/02/2021,10,0,10,,,
46,16/02/2021,10,0,10,,,
47,17/02/2021,10,0,10,,,
48,18/02/2021,10,0,10,,,
49,19/02/2021,10,0,10,,,
50,20/02/2021,10,0,10,,,
51,21/02/2021,10,0,10,,,
52,22/02/2021,10,0,10,,,
53,23/02/2021,10,0,10,,,
54,24/02/2021,10,0,10,,,
55,25/02/2021,10,0,10,,,
56,26/02/2021,10,0,10,,,
57,27/02/2021,10,0,10,,,
58,28/02/2021,10,0,10,,,
59,1/3/2021,10,0,10,,,
60,2/3/2021,10,0,10,,,
61,3/3/2021,10,0,10,,,
62,4/3/2021,10,0,10,,,
63,5/3/2021,10,0,10,,,
64,6/3/2021,10,0,10,,,
65,7/3/2021,10,0,10,,,
66,8/3/2021,10,0,10,,,
67,9/3/2021,10,0,10,,,
68,10/3/2021,10,0,10,,,
69,11/3/2021,10,0,10,,,
70,12/3/2021,10,0,10,,,
71,13/03/2021,10,0,10,,,
72,14/03/2021,10,0,10,,,
