Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
1/1/2021,414,31,373,,,
2/1/2021,414,31,373,,,
3/1/2021,414,31,374,,,
4/1/2021,414,31,374,,,
5/1/2021,414,31,374,,,
6/1/2021,414,31,375,,,
7/1/2021,414,31,375,,,
8/1/2021,414,31,376,,,
9/1/2021,414,31,378,,,
10/1/2021,414,31,378,,,
11/1/2021,414,31,378,,,
12/1/2021,414,31,378,,,
13/01/2021,414,31,380,,,
14/01/2021,414,31,380,,,
15/01/2021,417,31,380,,,
16/01/2021,417,31,380,,,
17/01/2021,417,31,380,,,
18/01/2021,418,31,380,,,
19/01/2021,419,31,380,,,
20/01/2021,419,31,380,,,
21/01/2021,419,31,380,,,
22/01/2021,419,31,380,,,
23/01/2021,419,31,380,,,
24/01/2021,419,31,380,,,
25/01/2021,419,31,380,,,
26/01/2021,419,31,380,,,
27/01/2021,419,31,380,,,
28/01/2021,425,31,380,,,
29/01/2021,425,31,380,,,
30/01/2021,425,31,380,,,
31/01/2021,425,31,380,,,
1/2/2021,425,31,380,,,
2/2/2021,425,31,380,,,
3/2/2021,425,31,380,,,
4/2/2021,425,31,380,,,
5/2/2021,425,31,380,,,
6/2/2021,425,31,380,,,
7/2/2021,425,31,380,,,
8/2/2021,425,31,380,,,
9/2/2021,425,31,380,,,
10/2/2021,425,31,380,,,
11/2/2021,425,31,380,,,
12/2/2021,425,31,380,,,
13/02/2021,425,31,380,,,
14/02/2021,425,31,380,,,
15/02/2021,425,31,383,,,
16/02/2021,425,31,383,,,
17/02/2021,425,31,386,,,
18/02/2021,425,31,388,,,
19/02/2021,425,31,388,,,
20/02/2021,425,31,388,,,
21/02/2021,425,31,388,,,
22/02/2021,425,31,388,,,
23/02/2021,425,31,388,,,
24/02/2021,425,31,389,,,
25/02/2021,425,31,390,,,
26/02/2021,425,31,390,,,
27/02/2021,425,31,390,,,
28/02/2021,425,31,390,,,
1/3/2021,425,31,390,,,
2/3/2021,425,31,390,,,
3/3/2021,425,31,390,,,
4/3/2021,425,31,390,,,
5/3/2021,425,31,390,,,
6/3/2021,425,31,390,,,
7/3/2021,425,31,390,,,
8/3/2021,425,31,390,,,
9/3/2021,425,31,390,,,
10/3/2021,425,31,390,,,
11/3/2021,425,31,390,,,
12/3/2021,425,31,390,,,
13/03/2021,425,31,390,,,
14/03/2021,425,31,390,,,
15/03/2021,425,31,390,,,
16/03/2021,425,31,390,,,
17/03/2021,425,31,390,,,
18/03/2021,425,31,390,,,
19/03/2021,425,31,390,,,
20/03/2021,425,31,390,,,
21/03/2021,425,31,390,,,
22/03/2021,425,31,390,,,
23/03/2021,425,31,390,,,
24/03/2021,425,31,390,,,
25/03/2021,425,31,390,,,
26/03/2021,425,31,390,,,
27/03/2021,425,31,390,,,
28/03/2021,425,31,390,,,
29/03/2021,425,31,390,,,
30/03/2021,425,31,391,,,
31/03/2021,428,31,391,,,
1/4/2021,428,31,391,,,
2/4/2021,428,31,391,,,
3/4/2021,428,31,391,,,
4/4/2021,428,31,391,,,
5/4/2021,430,31,391,,,
6/4/2021,432,31,391,,,
7/4/2021,433,31,391,,,
8/4/2021,435,31,391,,,
9/4/2021,441,31,391,,,
10/4/2021,441,31,391,,,
11/4/2021,441,31,391,,,
12/4/2021,442,31,391,,,
13/04/2021,447,31,391,,,
14/04/2021,450,31,391,,,
15/04/2021,457,31,391,,,
16/04/2021,458,31,391,,,
17/04/2021,459,31,391,,,
18/04/2021,459,31,391,,,
19/04/2021,460,31,391,,,
20/04/2021,465,31,391,,,
21/04/2021,468,31,391,,,
22/04/2021,470,31,391,,,
23/04/2021,471,31,391,,,
24/04/2021,472,31,397,,,
25/04/2021,475,31,397,,,
26/04/2021,475,31,397,,,
27/04/2021,475,31,397,,,
28/04/2021,476,31,397,,,
29/04/2021,480,31,397,,,
30/04/2021,480,31,397,,,
1/5/2021,482,31,407,,,
2/5/2021,484,31,407,,,
3/5/2021,486,31,410,,,
4/5/2021,490,31,410,,,
5/5/2021,492,31,410,,,
6/5/2021,495,31,410,,,
7/5/2021,502,31,410,,,
8/5/2021,511,31,418,,,
9/5/2021,529,31,418,,,
10/5/2021,548,31,424,,,
11/5/2021,548,31,424,,,
12/5/2021,576,31,424,,,
13/05/2021,608,31,428,,,
14/05/2021,611,31,428,,,
15/05/2021,612,31,430,,,
16/05/2021,632,31,430,,,
17/05/2021,638,31,430,,,
18/05/2021,641,31,433,,,
19/05/2021,641,31,433,,,
20/05/2021,643,31,433,,,
21/05/2021,645,32,433,,,
22/05/2021,646,32,437,,,
23/05/2021,647,32,437,,,
24/05/2021,648,32,440,,,
25/05/2021,650,32,440,,,
26/05/2021,650,32,450,,,
27/05/2021,651,32,450,,,
28/05/2021,651,32,456,,,
29/05/2021,651,32,456,,,
30/05/2021,652,32,465,,,
31/05/2021,653,32,476,,,
1/6/2021,653,32,477,,,
2/6/2021,654,32,491,,,
3/6/2021,654,32,491,,,
4/6/2021,654,32,507,,,
5/6/2021,654,32,516,,,
6/6/2021,654,32,523,,,
7/6/2021,656,32,547,,,
8/6/2021,656,32,547,,,
9/6/2021,656,32,561,,,
10/6/2021,656,32,571,,,
11/6/2021,656,32,576,,,
12/6/2021,696,32,605,,,
13/06/2021,696,32,605,,,
14/06/2021,696,32,605,,,
15/06/2021,696,32,605,,,
16/06/2021,696,32,605,,,
17/06/2021,696,32,605,,,
18/06/2021,696,32,605,,,
19/06/2021,696,32,605,,,
20/06/2021,696,32,605,,,
21/06/2021,696,32,605,,,
22/06/2021,696,32,605,,,
23/06/2021,696,32,605,,,
24/06/2021,702,32,605,,,
25/06/2021,727,32,608,,,
26/06/2021,734,32,613,,,
27/06/2021,734,32,614,,,
28/06/2021,737,32,614,,,
29/06/2021,737,32,614,,,
30/06/2021,739,32,614,,,
1/7/2021,739,32,614,,,
2/7/2021,745,32,614,,,
3/7/2021,748,32,614,,,
4/7/2021,748,32,614,,,
5/7/2021,749,32,614,,,
6/7/2021,749,32,614,,,
7/7/2021,749,32,614,,,
8/7/2021,749,33,614,,,
9/7/2021,749,33,614,,,
10/7/2021,750,33,614,,,
