,Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
0,1/1/2021,3,0,3,,,
1,2/1/2021,3,0,3,,,
2,3/1/2021,3,0,3,,,
3,4/1/2021,3,0,3,,,
4,5/1/2021,3,0,3,,,
5,6/1/2021,3,0,3,,,
6,7/1/2021,3,0,3,,,
7,8/1/2021,3,0,3,,,
8,9/1/2021,3,0,3,,,
9,10/1/2021,3,0,3,,,
10,11/1/2021,3,0,3,,,
11,12/1/2021,3,0,3,,,
12,13/01/2021,3,0,3,,,
13,14/01/2021,3,0,3,,,
14,15/01/2021,3,0,3,,,
15,16/01/2021,3,0,3,,,
16,17/01/2021,3,0,3,,,
17,18/01/2021,3,0,3,,,
18,19/01/2021,3,0,3,,,
19,20/01/2021,3,0,3,,,
20,21/01/2021,3,0,3,,,
21,22/01/2021,3,0,3,,,
22,23/01/2021,3,0,3,,,
23,24/01/2021,3,0,3,,,
24,25/01/2021,3,0,3,,,
25,26/01/2021,3,0,3,,,
26,27/01/2021,3,0,3,,,
27,28/01/2021,3,0,3,,,
28,29/01/2021,4,0,3,,,
29,30/01/2021,4,0,3,,,
30,31/01/2021,4,0,3,,,
31,1/2/2021,4,0,3,,,
32,2/2/2021,4,0,3,,,
33,3/2/2021,4,0,3,,,
34,4/2/2021,4,0,3,,,
35,5/2/2021,4,0,3,,,
36,6/2/2021,4,0,3,,,
37,7/2/2021,4,0,3,,,
38,8/2/2021,4,0,3,,,
39,9/2/2021,4,0,3,,,
40,10/2/2021,4,0,3,,,
41,11/2/2021,4,0,3,,,
42,12/2/2021,4,0,3,,,
43,13/02/2021,4,0,3,,,
44,14/02/2021,4,0,3,,,
45,15/02/2021,4,0,3,,,
46,16/02/2021,4,0,3,,,
47,17/02/2021,4,0,3,,,
48,18/02/2021,4,0,3,,,
49,19/02/2021,4,0,3,,,
50,20/02/2021,4,0,3,,,
51,21/02/2021,4,0,3,,,
52,22/02/2021,7,0,3,,,
53,23/02/2021,7,0,3,,,
54,24/02/2021,7,0,3,,,
55,25/02/2021,7,0,3,,,
56,26/02/2021,7,0,3,,,
57,27/02/2021,7,0,3,,,
58,28/02/2021,7,0,4,,,
59,1/3/2021,7,0,4,,,
60,2/3/2021,7,0,4,,,
61,3/3/2021,7,0,4,,,
62,4/3/2021,7,0,4,,,
63,5/3/2021,7,0,4,,,
64,6/3/2021,7,0,4,,,
65,7/3/2021,7,0,4,,,
66,8/3/2021,7,0,4,,,
67,9/3/2021,7,0,4,,,
68,10/3/2021,7,0,4,,,
69,11/3/2021,7,0,4,,,
70,12/3/2021,7,0,4,,,
71,13/03/2021,7,0,4,,,
72,14/03/2021,7,0,4,,,
73,15/03/2021,7,0,4,,,
74,16/03/2021,7,0,4,,,
75,17/03/2021,7,0,4,,,
76,18/03/2021,7,0,4,,,
77,19/03/2021,7,0,4,,,
78,20/03/2021,7,0,4,,,
79,21/03/2021,7,0,4,,,
80,22/03/2021,7,0,4,,,
81,23/03/2021,7,0,4,,,
82,24/03/2021,7,0,4,,,
83,25/03/2021,7,0,4,,,
84,26/03/2021,9,0,4,,,
85,27/03/2021,9,0,4,,,
86,28/03/2021,9,0,4,,,
87,29/03/2021,9,0,4,,,
88,30/03/2021,9,0,4,,,
89,31/03/2021,9,0,4,,,
90,1/4/2021,9,0,4,,,
91,2/4/2021,9,0,4,,,
92,3/4/2021,9,0,4,,,
93,4/4/2021,9,0,4,,,
94,5/4/2021,9,0,4,,,
95,6/4/2021,9,0,4,,,
96,7/4/2021,9,0,4,,,
97,8/4/2021,9,0,4,,,
98,9/4/2021,9,0,4,,,
99,10/4/2021,9,0,4,,,
100,11/4/2021,9,0,4,,,
101,12/4/2021,9,0,4,,,
102,13/04/2021,9,0,4,,,
103,14/04/2021,9,0,4,,,
104,15/04/2021,9,0,4,,,
105,16/04/2021,9,0,6,,,
106,17/04/2021,9,0,6,,,
107,18/04/2021,9,0,6,,,
108,19/04/2021,9,0,6,,,
109,20/04/2021,9,0,6,,,
110,21/04/2021,9,0,6,,,
111,22/04/2021,9,0,6,,,
112,23/04/2021,9,0,6,,,
113,24/04/2021,9,0,6,,,
114,25/04/2021,9,0,6,,,
115,26/04/2021,9,0,6,,,
116,27/04/2021,9,0,6,,,
117,28/04/2021,9,0,6,,,
118,29/04/2021,9,0,6,,,
119,30/04/2021,9,0,6,,,
120,1/5/2021,9,0,6,,,
121,2/5/2021,9,0,6,,,
122,3/5/2021,9,0,7,,,
123,4/5/2021,9,0,7,,,
124,5/5/2021,9,0,7,,,
125,6/5/2021,9,0,7,,,
126,7/5/2021,9,0,7,,,
127,8/5/2021,10,0,7,,,
128,9/5/2021,10,0,7,,,
129,10/5/2021,10,0,7,,,
130,11/5/2021,10,0,7,,,
131,12/5/2021,10,0,7,,,
132,13/05/2021,10,0,7,,,
133,14/05/2021,10,0,7,,,
134,15/05/2021,10,0,7,,,
135,16/05/2021,10,0,7,,,
136,17/05/2021,10,0,7,,,
137,18/05/2021,11,0,7,,,
138,19/05/2021,11,0,7,,,
139,20/05/2021,11,0,7,,,
140,21/05/2021,11,0,7,,,
141,22/05/2021,11,0,7,,,
142,23/05/2021,11,0,7,,,
143,24/05/2021,11,0,7,,,
144,25/05/2021,11,0,7,,,
145,26/05/2021,11,0,7,,,
146,27/05/2021,11,0,7,,,
147,28/05/2021,11,0,7,,,
148,29/05/2021,11,0,7,,,
149,30/05/2021,12,0,7,,,
150,31/05/2021,12,0,7,,,
151,1/6/2021,12,0,9,,,
152,2/6/2021,12,0,9,,,
153,3/6/2021,12,0,9,,,
154,4/6/2021,12,0,9,,,
155,5/6/2021,12,0,9,,,
156,6/6/2021,12,0,9,,,
157,7/6/2021,12,0,9,,,
158,8/6/2021,12,0,9,,,
159,9/6/2021,12,0,9,,,
160,10/6/2021,12,0,9,,,
161,11/6/2021,12,0,9,,,
162,12/6/2021,12,0,12,,,
163,13/06/2021,12,0,12,,,
164,14/06/2021,12,0,12,,,
165,15/06/2021,12,0,12,,,
166,16/06/2021,12,0,12,,,
167,17/06/2021,12,0,12,,,
168,18/06/2021,12,0,12,,,
169,19/06/2021,12,0,12,,,
170,20/06/2021,12,0,12,,,
171,21/06/2021,12,0,12,,,
172,22/06/2021,12,0,12,,,
173,23/06/2021,12,0,12,,,
174,24/06/2021,12,0,12,,,
175,25/06/2021,15,0,12,,,
176,26/06/2021,17,0,12,,,
177,27/06/2021,17,0,12,,,
178,28/06/2021,18,0,12,,,
179,29/06/2021,20,0,12,,,
180,30/06/2021,21,0,12,,,
181,1/7/2021,21,0,12,,,
182,2/7/2021,22,0,12,,,
183,3/7/2021,22,0,12,,,
184,4/7/2021,22,0,12,,,
185,5/7/2021,24,0,12,,,
186,6/7/2021,24,0,12,,,
187,7/7/2021,24,0,12,,,
188,8/7/2021,24,0,12,,,
189,9/7/2021,24,0,12,,,
190,10/7/2021,24,0,12,,,
191,11/7/2021,24,0,12,,,
192,12/7/2021,24,0,12,,,
193,13/07/2021,25,0,12,,,
194,14/07/2021,25,0,12,,,
195,15/07/2021,25,0,12,,,
196,16/07/2021,26,0,12,,,
197,17/07/2021,26,0,12,,,
198,18/07/2021,27,0,12,,,
199,19/07/2021,27,0,12,,,
200,20/07/2021,33,0,12,,,
201,21/07/2021,34,0,12,,,
202,22/07/2021,34,0,12,,,
203,23/07/2021,37,0,12,,,
204,24/07/2021,37,0,12,,,
205,25/07/2021,37,0,12,,,
206,26/07/2021,37,0,12,,,
207,27/07/2021,37,0,12,,,
208,28/07/2021,37,0,12,,,
209,29/07/2021,37,0,12,,,
210,30/07/2021,37,0,12,,,
211,31/07/2021,38,0,12,,,
212,1/8/2021,38,0,12,,,
213,2/8/2021,38,0,12,,,
214,3/8/2021,38,0,12,,,
215,4/8/2021,38,0,12,,,
216,5/8/2021,38,0,12,,,
217,6/8/2021,38,0,12,,,
218,7/8/2021,38,0,12,,,
219,8/8/2021,38,0,12,,,
220,9/8/2021,38,0,12,,,
221,10/8/2021,38,0,12,,,
222,11/8/2021,38,0,12,,,
223,12/8/2021,38,0,12,,,
224,13/08/2021,38,0,12,,,
225,14/08/2021,38,0,12,,,
226,15/08/2021,38,0,12,,,
227,16/08/2021,38,0,12,,,
228,17/08/2021,38,0,12,,,
229,18/08/2021,38,0,12,,,
230,19/08/2021,48,0,12,,,
231,20/08/2021,53,0,12,,,
232,21/08/2021,53,0,12,,,
233,22/08/2021,53,0,12,,,
234,23/08/2021,53,0,12,,,
235,24/08/2021,57,0,12,,,
236,25/08/2021,57,0,12,,,
237,26/08/2021,57,0,12,,,
238,27/08/2021,59,0,12,,,
239,28/08/2021,59,0,12,,,
240,29/08/2021,59,0,12,,,
241,30/08/2021,59,0,12,,,
242,31/08/2021,59,0,12,,,
243,1/9/2021,59,0,12,,,
244,2/9/2021,59,0,12,,,
245,3/9/2021,59,0,12,,,
246,4/9/2021,59,0,12,,,
247,5/9/2021,59,0,12,,,
248,6/9/2021,63,0,12,,,
249,7/9/2021,63,0,12,,,
250,8/9/2021,63,0,12,,,
251,9/9/2021,63,0,12,,,
252,10/9/2021,63,0,12,,,
253,11/9/2021,63,0,12,,,
254,12/9/2021,63,0,12,,,
255,13/09/2021,63,0,12,65023,47262,112285
256,14/09/2021,63,0,12,65023,47262,112285
257,15/09/2021,63,0,12,364403,47755,412158
258,16/09/2021,63,0,12,364403,47755,412158
259,17/09/2021,63,0,12,364403,47755,412158
260,18/09/2021,63,0,12,364403,47755,412158
261,19/09/2021,63,0,12,364403,47755,412158
262,20/09/2021,63,0,12,364403,47755,412158
263,21/09/2021,63,0,12,364403,47755,412158
264,22/09/2021,63,0,12,364403,47755,412158
265,23/09/2021,63,0,12,364403,47755,412158
266,24/09/2021,63,0,12,364403,47755,412158
267,25/09/2021,63,0,12,364403,47755,412158
268,26/09/2021,63,0,12,364403,47755,412158
269,27/09/2021,63,0,12,364403,47755,412158
270,28/09/2021,63,0,12,364403,47755,412158
271,29/09/2021,63,0,12,418404,48512,466916
272,30/09/2021,63,0,12,473507,48660,522167
273,1/10/2021,63,0,12,473507,48660,522167
274,2/10/2021,63,0,12,518532,56667,575199
275,3/10/2021,63,0,12,536742,56811,593553
276,4/10/2021,63,0,12,543998,64433,608431
