,Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
0,1/1/2021,189,0,172,,,
1,2/1/2021,189,0,173,,,
2,3/1/2021,194,0,173,,,
3,4/1/2021,194,0,173,,,
4,5/1/2021,196,0,173,,,
5,6/1/2021,196,0,175,,,
6,7/1/2021,196,0,175,,,
7,8/1/2021,198,0,176,,,
8,9/1/2021,198,0,178,,,
9,10/1/2021,198,0,178,,,
10,11/1/2021,198,0,178,,,
11,12/1/2021,198,0,178,,,
12,13/01/2021,198,0,180,,,
13,14/01/2021,200,0,180,,,
14,15/01/2021,200,0,180,,,
15,16/01/2021,200,0,180,,,
16,17/01/2021,200,0,180,,,
17,18/01/2021,201,0,187,,,
18,19/01/2021,201,0,187,,,
19,20/01/2021,201,0,188,,,
20,21/01/2021,201,0,189,,,
21,22/01/2021,201,0,189,,,
22,23/01/2021,201,0,189,,,
23,24/01/2021,201,0,189,,,
24,25/01/2021,202,0,191,,,
25,26/01/2021,202,0,192,,,
26,27/01/2021,202,0,192,,,
27,28/01/2021,202,0,192,,,
28,29/01/2021,204,0,195,,,
29,30/01/2021,206,0,199,,,
30,31/01/2021,215,0,199,,,
31,1/2/2021,221,0,200,,,
32,2/2/2021,223,0,200,,,
33,3/2/2021,224,0,200,,,
34,4/2/2021,225,0,201,,,
35,5/2/2021,226,0,201,,,
36,6/2/2021,226,0,201,,,
37,7/2/2021,226,0,201,,,
38,8/2/2021,229,0,201,,,
39,9/2/2021,231,0,201,,,
40,10/2/2021,231,0,201,,,
41,11/2/2021,231,0,201,,,
42,12/2/2021,232,0,201,,,
43,13/02/2021,232,0,201,,,
44,14/02/2021,234,0,201,,,
45,15/02/2021,238,0,201,,,
46,16/02/2021,239,0,202,,,
47,17/02/2021,239,0,202,,,
48,18/02/2021,239,0,202,,,
49,19/02/2021,239,0,202,,,
50,20/02/2021,239,0,202,,,
51,21/02/2021,239,0,202,,,
52,22/02/2021,239,0,202,,,
53,23/02/2021,239,0,202,,,
54,24/02/2021,239,0,205,,,
55,25/02/2021,239,0,207,,,
56,26/02/2021,239,0,209,,,
57,27/02/2021,239,0,209,,,
58,28/02/2021,239,0,215,,,
59,1/3/2021,239,0,215,,,
60,2/3/2021,239,0,215,,,
61,3/3/2021,239,0,215,,,
62,4/3/2021,239,0,219,,,
