Day,Case_by_time,Death_by_time,recovered_by_time,Once injected,Twice injected,Total injected
1/1/2021,150,0,144,,,
2/1/2021,150,0,144,,,
3/1/2021,150,0,144,,,
4/1/2021,152,0,144,,,
5/1/2021,153,0,144,,,
6/1/2021,153,0,144,,,
7/1/2021,153,0,144,,,
8/1/2021,153,0,144,,,
9/1/2021,153,0,144,,,
10/1/2021,153,0,144,,,
11/1/2021,154,0,144,,,
12/1/2021,154,0,144,,,
13/01/2021,154,0,144,,,
14/01/2021,156,0,144,,,
15/01/2021,158,0,146,,,
16/01/2021,158,0,146,,,
17/01/2021,158,0,146,,,
18/01/2021,158,0,148,,,
19/01/2021,158,0,148,,,
20/01/2021,162,0,148,,,
21/01/2021,162,0,149,,,
22/01/2021,163,0,149,,,
23/01/2021,163,0,149,,,
24/01/2021,163,0,149,,,
25/01/2021,163,0,150,,,
26/01/2021,165,0,152,,,
27/01/2021,165,0,152,,,
28/01/2021,166,0,152,,,
29/01/2021,166,0,153,,,
30/01/2021,168,0,153,,,
31/01/2021,168,0,153,,,
1/2/2021,169,0,155,,,
2/2/2021,169,0,155,,,
3/2/2021,169,0,155,,,
4/2/2021,169,0,155,,,
5/2/2021,169,0,155,,,
6/2/2021,170,0,155,,,
7/2/2021,170,0,156,,,
8/2/2021,199,0,156,,,
9/2/2021,203,0,157,,,
10/2/2021,205,0,162,,,
11/2/2021,205,0,162,,,
12/2/2021,205,0,163,,,
13/02/2021,211,0,163,,,
14/02/2021,211,0,163,,,
15/02/2021,211,0,166,,,
16/02/2021,211,0,166,,,
17/02/2021,211,0,166,,,
18/02/2021,211,0,168,,,
19/02/2021,211,0,168,,,
20/02/2021,211,0,168,,,
21/02/2021,211,0,168,,,
22/02/2021,211,0,168,,,
23/02/2021,211,0,168,,,
24/02/2021,211,0,194,,,
25/02/2021,211,0,195,,,
26/02/2021,211,0,196,,,
27/02/2021,211,0,200,,,
28/02/2021,211,0,200,,,
1/3/2021,211,0,203,,,
2/3/2021,211,0,203,,,
3/3/2021,211,0,203,,,
4/3/2021,211,0,205,,,
5/3/2021,211,0,205,,,
6/3/2021,211,0,205,,,
7/3/2021,211,0,205,,,
8/3/2021,214,0,205,,,
9/3/2021,214,0,208,,,
10/3/2021,215,0,208,,,
11/3/2021,215,0,208,,,
12/3/2021,215,0,209,,,
13/03/2021,215,0,209,,,
14/03/2021,216,0,209,,,
15/03/2021,216,0,210,,,
16/03/2021,216,0,210,,,
17/03/2021,216,0,210,,,
18/03/2021,216,0,210,,,
19/03/2021,217,0,210,,,
20/03/2021,217,0,210,,,
21/03/2021,217,0,210,,,
22/03/2021,218,0,210,,,
23/03/2021,218,0,211,,,
24/03/2021,218,0,211,,,
25/03/2021,219,0,211,,,
26/03/2021,220,0,211,,,
27/03/2021,220,0,211,,,
28/03/2021,220,0,211,,,
29/03/2021,221,0,211,,,
30/03/2021,221,0,211,,,
31/03/2021,221,0,211,,,
1/4/2021,221,0,211,,,
2/4/2021,222,0,211,,,
3/4/2021,222,0,211,,,
4/4/2021,222,0,211,,,
5/4/2021,223,0,213,,,
6/4/2021,223,0,214,,,
7/4/2021,225,0,214,,,
8/4/2021,228,0,214,,,
9/4/2021,229,0,214,,,
10/4/2021,229,0,214,,,
11/4/2021,229,0,214,,,
12/4/2021,231,0,217,,,
13/04/2021,233,0,217,,,
14/04/2021,236,0,217,,,
15/04/2021,241,0,217,,,
16/04/2021,245,0,220,,,
17/04/2021,245,0,220,,,
18/04/2021,245,0,220,,,
19/04/2021,248,0,220,,,
20/04/2021,248,0,220,,,
21/04/2021,248,0,220,,,
22/04/2021,248,0,220,,,
23/04/2021,254,0,220,,,
24/04/2021,254,0,224,,,
25/04/2021,254,0,224,,,
26/04/2021,257,0,224,,,
27/04/2021,257,0,224,,,
28/04/2021,257,0,224,,,
29/04/2021,258,0,224,,,
30/04/2021,260,0,224,,,
1/5/2021,263,0,234,,,
2/5/2021,263,0,234,,,
3/5/2021,263,0,235,,,
4/5/2021,266,0,235,,,
5/5/2021,267,0,235,,,
6/5/2021,267,0,235,,,
7/5/2021,269,0,235,,,
8/5/2021,270,0,242,,,
9/5/2021,270,0,242,,,
10/5/2021,270,0,245,,,
11/5/2021,273,0,245,,,
12/5/2021,273,0,245,,,
13/05/2021,273,0,250,,,
14/05/2021,273,0,250,,,
15/05/2021,273,0,252,,,
16/05/2021,273,0,252,,,
17/05/2021,273,0,252,,,
18/05/2021,273,0,256,,,
19/05/2021,275,0,256,,,
20/05/2021,279,0,257,,,
21/05/2021,279,0,257,,,
22/05/2021,279,0,262,,,
23/05/2021,279,0,262,,,
24/05/2021,280,0,262,,,
25/05/2021,281,0,262,,,
26/05/2021,281,0,262,,,
27/05/2021,317,0,262,,,
28/05/2021,317,0,262,,,
29/05/2021,371,0,262,,,
30/05/2021,430,0,268,,,
31/05/2021,430,0,269,,,
1/6/2021,500,0,269,,,
2/6/2021,533,1,269,,,
3/6/2021,566,1,269,,,
4/6/2021,592,1,269,,,
5/6/2021,623,1,269,,,
6/6/2021,654,1,269,,,
7/6/2021,734,1,270,,,
8/6/2021,757,1,270,,,
9/6/2021,811,1,271,,,
10/6/2021,872,1,271,,,
11/6/2021,920,1,276,,,
12/6/2021,2184,3,333,,,
13/06/2021,2184,1,333,,,
14/06/2021,2184,1,333,,,
15/06/2021,2184,1,333,,,
16/06/2021,2184,1,333,,,
17/06/2021,2184,1,333,,,
18/06/2021,2184,1,333,,,
19/06/2021,2184,1,333,,,
20/06/2021,2184,1,333,,,
21/06/2021,2184,3,333,,,
22/06/2021,2184,3,333,,,
23/06/2021,2338,3,333,,,
24/06/2021,2503,3,333,,,
25/06/2021,2729,5,358,,,
26/06/2021,3351,5,361,,,
27/06/2021,3456,7,364,,,
28/06/2021,3770,7,384,,,
29/06/2021,3882,10,401,,,
30/06/2021,4174,11,411,,,
1/7/2021,4485,11,479,,,
2/7/2021,4903,13,488,,,
3/7/2021,5268,13,518,,,
4/7/2021,5268,13,522,,,
5/7/2021,6375,14,603,,,
6/7/2021,6375,16,603,,,
7/7/2021,7455,16,603,,,
8/7/2021,7455,21,603,,,
9/7/2021,7455,21,603,,,
10/7/2021,8684,21,603,,,
11/7/2021,8684,21,603,,,
12/7/2021,11519,21,629,,,
13/07/2021,13142,21,629,,,
14/07/2021,14042,31,669,,,
15/07/2021,14667,103,669,,,
16/07/2021,20238,109,692,,,
17/07/2021,22007,109,692,,,
18/07/2021,24325,129,692,,,
19/07/2021,24325,129,692,,,
20/07/2021,34336,122,692,,,
21/07/2021,34336,122,692,,,
22/07/2021,34336,122,692,,,
23/07/2021,50193,232,692,,,
24/07/2021,55589,232,692,,,
25/07/2021,60144,232,692,,,
26/07/2021,66141,361,692,,,
27/07/2021,72459,361,692,,,
28/07/2021,76908,452,692,,,
29/07/2021,81500,641,692,,,
30/07/2021,85782,900,692,,,
31/07/2021,89962,989,692,,,
1/8/2021,94031,989,692,,,
2/8/2021,98295,1343,692,,,
3/8/2021,102466,1674,692,,,
4/8/2021,105766,1891,692,,,
5/8/2021,109652,2105,692,,,
6/8/2021,113712,2324,692,,,
7/8/2021,117642,2324,692,,,
8/8/2021,121540,2744,692,,,
9/8/2021,125533,3013,692,,,
10/8/2021,129490,3321,692,,,
11/8/2021,132906,3582,692,,,
12/8/2021,136756,3807,692,,,
13/08/2021,140288,4030,692,,,
14/08/2021,144519,4315,692,,,
15/08/2021,149035,4597,692,,,
16/08/2021,152376,4912,692,,,
17/08/2021,155941,5197,692,,,
18/08/2021,159674,5452,692,,,
19/08/2021,164099,5759,692,,,
20/08/2021,167476,6071,692,,,
21/08/2021,171581,6071,692,,,
22/08/2021,175994,6670,692,,,
23/08/2021,180245,7010,692,,,
24/08/2021,184879,7302,692,,,
25/08/2021,190174,7568,692,,,
26/08/2021,194108,7810,692,,,
27/08/2021,199492,8097,692,,,
28/08/2021,204973,8368,692,,,
29/08/2021,209932,8624,692,,,
30/08/2021,215821,8869,692,,,
31/08/2021,221268,8869,692,,,
1/9/2021,226636,9527,692,,,
2/9/2021,232600,9724,692,,,
3/9/2021,241110,9974,692,,,
4/9/2021,245708,10230,692,,,
5/9/2021,251934,10452,692,,,
6/9/2021,259056,10685,692,,,
7/9/2021,266366,10938,692,,,
8/9/2021,273674,11206,692,,,
9/9/2021,279223,11409,692,,,
10/9/2021,286762,11604,692,,,
11/9/2021,292391,11792,692,,,
12/9/2021,298549,11992,692,,,
13/09/2021,303995,12220,692,5066722,1542655,6609377
14/09/2021,310307,12419,692,5002129,1645980,6648109
15/09/2021,315608,12608,692,4956631,1732155,6688786
16/09/2021,321343,12768,692,4887818,1835394,6723212
17/09/2021,327315,12934,692,4887818,1835394,6723212
18/09/2021,331552,13099,692,4835123,1906067,6741190
19/09/2021,337048,13281,692,4785278,1975631,6760909
20/09/2021,342219,13444,692,4761754,2008147,6769901
21/09/2021,348740,13628,692,4728824,2052403,6781227
22/09/2021,354175,13809,692,4654615,2135185,6789800
23/09/2021,359227,13984,692,4654615,2135185,6789800
24/09/2021,363013,14124,692,4584017,2210453,6794470
25/09/2021,367059,14248,692,4513007,2290913,6803920
26/09/2021,372180,14379,692,4333963,2478071,6812034
27/09/2021,376314,14501,692,3990210,2835611,6825821
28/09/2021,376691,14632,692,3990210,2835611,6825821
29/09/2021,381390,14745,692,3515224,3343191,6858415
30/09/2021,385762,14851,692,3346390,3529562,6875952
1/10/2021,389432,14946,692,3346390,3529562,6875952
2/10/2021,392155,15069,692,3205353,3691289,6896642
3/10/2021,394616,15148,692,2997178,3917431,6914609
4/10/2021,397106,15241,692,2757493,4180204,6937697
5/10/2021,398597,15345,692,2502934,4465356,6968290
6/10/2021,400557,15433,692,2331124,4658994,6990118
7/10/2021,402287,15525,692,2225827,4779497,7005324
8/10/2021,404502,15603,692,2143422,4884948,7028370
9/10/2021,406164,15677,692,2114754,4928300,7043054
10/10/2021,407231,15759,692,1926011,5187545,7113556
11/10/2021,408758,15834,692,1926011,5187545,7113556
12/10/2021,409776,15898,692,1880215,5239924,7120139
13/10/2021,410938,15971,692,1846017,5288112,7134129
14/10/2021,411847,16032,692,1793990,5359653,7153643
15/10/2021,412978,16093,692,1793990,5359653,7153643
16/10/2021,413768,16151,692,1793990,5359653,7153643
17/10/2021,414827,16189,692,1733219,5436692,7169911
18/10/2021,415795,16240,692,1733219,5436692,7169911
19/10/2021,416702,16287,692,1610250,5516814,7127064
20/10/2021,418049,16330,692,1597490,5534222,7131712
21/10/2021,419304,16371,692,1597490,5534222,7131712
22/10/2021,420509,16404,692,1568322,5571051,7139373
23/10/2021,421258,16446,692,1553149,5590251,7143400
24/10/2021,422224,16476,692,1543510,5600938,7144448
25/10/2021,423193,16516,692,1543510,5600938,7144448
26/10/2021,423976,16543,692,1515542,5635370,7150912
27/10/2021,425116,16575,692,1492018,5666805,7158823
28/10/2021,426185,16600,692,1532908,5684188,7217096
29/10/2021,427162,16632,692,1532908,5684188,7217096
30/10/2021,428204,16662,692,1620314,5694757,7315071
31/10/2021,429245,16683,692,1803316,5709948,7513264
1/11/2021,430172,16708,692,1803316,5709948,7513264
2/11/2021,430854,16739,692,1974501,5738374,7712875
3/11/2021,431839,16779,692,1993881,5756375,7750256
4/11/2021,432820,16807,692,2004454,5777289,7781743
5/11/2021,433732,16840,692,2004454,5777289,7781743
6/11/2021,434718,16872,692,1997599,5795401,7793000
7/11/2021,435727,16903,692,1982627,5825213,7807840
8/11/2021,437043,16938,692,1973971,5836826,7810797
9/11/2021,438319,16976,692,1961003,5853933,7814936
10/11/2021,439733,17019,692,2063626,5853933,7917559
11/11/2021,440918,17057,0,1953425,5894955,13743335
12/11/2021,442306,17099,0,1953425,5894955,13743335
13/11/2021,443546,17137,0,1928340,5932203,13792746
14/11/2021,444531,17159,0,1918702,5946101,13810904
15/11/2021,445696,17204,0,1918702,5946101,13810904
16/11/2021,446879,17239,0,1922629,5969572,13861773
